Barcelona                                        barselona
Kolstad                                          kolstadi
Rosenborg 2                                      rusenborg II
Senja                                            senia
AF Sporting San Miguelito                        migelito
Tauro                                            tauro
Olimpia                                          olimpia
Cerro Porteno                                    sero porteno
Libertad                                         libertadi
Nacional Asuncion                                nasional asunsioni
Club River Plate                                 qlab river pleiti
3 de Febrero                                     3 de febrero
Alianza Atletico                                 aliansa atletiko
FBC Melgar                                       melgari
Alianza Lima                                     alianza lima
Ayacucho                                         aiakuCo
Academia Cantolao                                akademia kantoliao
Binacional                                       binasionali
Carlos Stein                                     karlos steini
Carlos A. Mannucci                               karlos manuCi
Sporting Cristal                                 sporting kristali
Cienciano                                        siensiano
Universidad San Martin                           universidad san martini
Deportivo Municipal                              deportivo munisipali
Universidad Cesar Vallejo                        sesar valiexo
Sport Boys                                       sport boizi
Sport Huancayo                                   huansaio
Universitario de Deportes                        universitario de deportesi
CD UT Cajamarca                                  utk kaxamarka
Deportivo Llacuabamba                            liakuabamba
Sport Chavelines Juniors                         sport Savelines xuniorsi
Juan Aurich                                      xuan aurixi
Alianza Universidad                              aliansa universidadi
Santa Rosa de Andahuaylas                        santa roza de andauailasi
Alfonso Ugarte de Puno                           alfonso ugarte puno
Union Huaral                                     uarali
Comerciantes Unidos                              konersiantes unidosi
Gumi Sportstoto                                  gumi sportstoto
Hwacheon KSPO                                    xvaCxon kspo
Suwon UDC                                        suvoni
Boeun Sangmu                                     boen sangmu
Changnyeong                                      Cxanioni
Seoul City                                       seul siTi
Hyundai Steel                                    hiondai stili
Gyeongju                                         kionju
Voluntari                                        voluntari
Gorilla                                          gorila
APR                                              apr
Kiyovu Sports                                    kiiovu sportsi
Mukura Victory                                   mukura
Al Feiha                                         al feiha
Damac                                            dhamki
Al Ittihad                                       al itihadi
Al Hilal                                         al hilali
AL Adalh                                         al adalhi
Ohud Medina                                      ohodi
Al Akhdoud                                       al axdoudi
Al Shoalah                                       al Sola
Al Jabalain                                      al jabalaini
Al Jeel                                          al jeeli
Al Kawkab                                        al kavkabi
Al Ain                                           el aini
Al Khaleej                                       al xaleji
Al Sahel SC                                      al saheli
AL Nahda FC KSA                                  al nahda
AL Khlood                                        al xoludi
Al Qadasiya                                      al qadisia
Najran SC                                        najrani
Al-Wehda                                         al-vehda
AL Orouba SC                                     al oruba
Bisha                                            biSa
AL Draih                                         al draihi
Hajer FC Al-Hasa                                 hajeri
Jeddah                                           jeda
Royal AM                                         roial am
Mamelodi Sundowns                                mamelodi sandaunsi
Halmstads BK                                     halmstadi
Brommapojkarna                                   bromapoikarna
Norrby                                           norbi
Utsiktens BK                                     utsiktensi
Orebro SK                                        erebru sk
AFC Eskilstuna                                   afk eskilstuna
Djurgaarden                                      iurgordeni
Hammarby IF                                      hamarbiu
Biashara Mara United                             biSara mara iunaitedi
Young Africans                                   iang afrikansi
Dodoma Jiji                                      dodoma
Namungo                                          namungo
ES Hamam Sousse                                  hamam susi
Etoile Metlaoui                                  etuali
Zarzis                                           zarzisi
Olympique de Beja                                olimpik beJa
Fethiyespor                                      feThiespori
Icel Idman Yurdu                                 mersin idmaniurdu
Cerrito                                          serito
Montevideo Wanderers                             montevideo uonderersi
Loudoun United                                   laudon iunaitedi
Memphis 901                                      memfis 901
New England Revolution II                        niu inglend revoliuSni II
Portland Timbers II                              portlend Timbersi II
Tacoma Defiance                                  takoma defiansi
Chicago FC United                                Cikago iunaitedi
Cedar Stars Rush                                 kedar sTarz raSi
Motown 2                                         moTaun II
Long Island Rough Riders                         long ailend roug raidersi
Morris Elite SC                                  moris elit sk
Louisiana Krewe                                  luiziana kreve
North Carolina                                   norT karolina
Tobacco Road                                     tobako roudi
Philadelphia Ukrainian Nationals                 filadeflia un
Hershey                                          herSi
First State                                      ferst sTeiTi
Northern Virginia United                         norTern virjinia iunaitedi
Arizona                                          arizona
Cleveland SC                                     klivlend sk
Erie Commodores                                  eri komodori
Buffalo                                          bufalo
Gotham                                           goTemi
Racing Louisville                                rasing luisvili
Reign                                            sietl reini
Washington Spirit                                vaSingtoni
Orlando Pride                                    orlando
Chicago Red Stars                                Cikago
Dinamo Samarkand                                 dinamo samaryandi
AGMK                                             agmk
Lokomotiv Tashkent                               taSkentis lokomotivi
Pakhtakor Tashkent                               faxtakori
Qizilqum Zarafshon                               yizilkumi
Surkhon-2011                                     surxan-2011
Carabobo                                         karabobo
Deportivo La Guaira                              deportivo la guaira
Fundacion AIFI                                   fundasion aifi
Dinamo de Puerto La Cruz                         dinamo puerto
Atletico El Vigia                                atletiko el vixia
Urena SC                                         urena
Llaneros De Guanare                              lanerosi
Deportivo Lara B                                 deportivo lara b
TFC Maracaibo                                    tfk marakaibo
Stroemsgodset 2                                  striomsgodseti 2
Cincinnati 2                                     cincinati 2
Colorado Rapids 2                                kolorado 2
Project 51O                                      projeqt 51o
Central Valley Fuego FC 2                        senTral vali fuego 2
Progresso Associacao Do Sambizanga               progreso sambisanga
CD Lunda Sul                                     lunda suli
Kabuscorp SCP                                    kabuSkorpi
Swadhinata Krira Sangha                          svadhinata
CD Santo Domingo                                 santo domingo
Atlético Morelia                                 atletiko morelia
Hoedd 2                                          hodi 2
Raufoss 2                                        raufosi 2
Haugesund 2                                      hogensundi 2
Viking 2                                         vikingi 2
Sarpsborg 08 2                                   sarpsborgi 08 II
Fredrikstad 2                                    fredriqstadi 2
Asociacion Deportiva Tarma                       adt de tarma
ACS Champions FC Arges                           arJeSi
Etoile de Lest                                   etual de l'esti
Gicumbi                                          gikumbi
St. Louis City 2                                 sent-luis siTi 2
Patuxent Football Athletics                      panaqsent futbol aTletiksi
Nova                                             nova
Chicago City SC                                  Cikago siTi sk
LA Parish AC                                     la periSi
Pennsylvania Classics                            pensilvania klasiqsi
Torch                                            torCi
SC Brave Lions                                   sk breiv laionsi
Pittsburgh Hotspurs                              pitsburg hoTspursi
Heroes de Falcon                                 heroes falkoni
Halifax Town                                     halifaqs Tauni
Chesterfield                                     Cesterfildi
Excelsior                                        eqselsiori
ADO Den Haag                                     den haagi
Villefranche Beaujolais                          vilfranS boJole
Quevilly                                         kevii
Mozambique                                       mozambiki
Eswatini                                         svazilendi
Thailand                                         tailandi
Bahrain                                          bahreini
ENPPI                                            enppi
Ghazl Al Mehalla                                 gazl el mahala
Dynamo Dresden                                   dinamo drezdeni
Kaiserslautern                                   kaizerslauterni
CA Chaco For Ever                                Cako
Almagro                                          almagro
Racing de Cordoba                                rasing de kordoba
Sarmiento de Resistencia                         sarmiento de resistensia
CA Huracan                                       urakani
Deportivo Madryn                                 deportivo madrini
Estudiantes de La Plata                          estudiantesi
Atletico Lanus                                   lanusi
Pyunik                                           piuniki
Ararat Yerevan                                   ararati
Al-Ansar                                         al-ansari
Al-Seeb                                          al-seebi
Jableh SC                                        jablehi
Kuwait SC                                        kuveiti sk
Dhofar                                           dofari
Al-Arabi                                         al-arabi
Al-Riffa                                         al rifa
Shabab Al Khaleel                                Sabab al xalili
tishreen                                         tiSrini
Al-Nejmeh                                        nejmehi
East Riffa                                       isT rifa
Hilal AL Quds                                    hilal al-qudsi
Gokulam                                          gokulami
Bashundhara Kings                                baSundhara qingzi
Maziya                                           mazia
ATK Mohun Bagan                                  atk mohun bagani
Melbourne Knights                                melburn naitsi
Oakleigh Cannons                                 oukli qenonzi
Adelaide Hills                                   adelaida hilzi
Eastern United                                   isTern iunaitedi
Surfers Paradise Apollo                          serfers faradaiz apolo
Virginia United                                  virjinia iunaitedi
Taringa Rovers                                   taringa roversi
North Star                                       norT stari
Capalaba                                         kapalaba
Olympic FC Brisbane                              olimpik brisbeni
SC Gleisdorf                                     glaisdorfi
Bad Gleichenberg                                 bad gleixenbergi
Sturm Graz                                       Sturmi
Treibach                                         traibaxi
Union Gurten                                     union gurteni
Ried                                             ridi
Rahmatgonj MFS                                   rahmatgonJ mfs
Muktijoddha Sangsad KC                           muktiJodha sangsadi
Sport Recife                                     sport resife
CRB                                              srb
Ypiranga RS                                      ipiranga
Remo                                             remo
Trem DC                                          tremi
Humaita SC                                       umaita
Oeste                                            oeste
Salto                                            salto
Union Douala                                     iunion duala
Panthere                                         panteri
Young Sports Academy                             iang sportsi
Fauve Azur                                       fove azuri
Feutcheu                                         fotSo
RC Bafoussam                                     bafusami
Stade Renard                                     stad renari
Colombe                                          kolombe
Tonnerre Kalara                                  toneri
Canon Sportif                                    qanon iaunde
Les Astres                                       lez astri
APEJES                                           apeJes
PWD Bamenda                                      bamenda
Ofta Kribi                                       ofta de kribi
Renaissance de Ngoumou                           renesans de ngumu
Dragon                                           dragoni
Bamboutos                                        bambutosi
Fovu Club                                        fovu
Yafoot                                           iafuti
Eding Sport                                      eding sporti
Avion                                            avioni
New Star                                         niu stari
UMS de Loum                                      ums de lumi
Coton Sport                                      koton sporti
Deportes Recoleta                                deportes rekoleta
San Luis                                         san luizi
Rangers                                          reinjersi
Magallanes                                       magalianesi
Universidad de Concepcion                        u. de konsepsioni
Santiago Morning                                 santiago moningi
Deportes Quindio                                 deportesi
Bogota                                           bogota
Fortaleza                                        fortaleza
Tigres                                           tigresi
Deportivo Cuenca                                 deportivo kuenka
Orense                                           orense
Kuressaare                                       kuresaare
Nomme JK Kalju                                   nime kaliu
TJK Legion                                       tJk legioni
FCI Levadia                                      levadia
Paide Linnameeskond                              paide linameskondi
Tammeka                                          tameka
Inter Turku                                      inter turku
Klubi 04                                         klubi 04
HJK Helsinki                                     hiki helsinki
SC Eltersdorf                                    eltersdorfi
Greuther Furth II                                fiurti II
hottur/huginn                                    hugin hoturi
Aegir                                            egiri
Sindri                                           sindri
IA Akranes                                       akranesi
UMF Selfoss                                      selfosi
Magni                                            magni
Vestri                                           vestri
Afturelding                                      aftureldingi
Grindavik                                        grindaviki
IR Reykjavik                                     ir reikiaviki
HK Kopavogs                                      hk kopavoguri
Grotta                                           grota
Hviti Riddarinn                                  hviti
Kordrengir                                       kordrengiri
Dalvik/Reynir                                    dalvik/reiniri
Thor Akureyri                                    Tor akiureiri
Stjarnan                                         stiarnani
Breidablik                                       breidabliki
Valur                                            valuri
Aluminium Arak                                   aliuminium araki
Paykan                                           peikani
Foolad Khuzestan                                 fulad xuzistani
Sepahan                                          sepahani
Havadar SC                                       havadari sk
Gol Gohar                                        gol gohari
Mes Rafsanjan                                    mes rafsanjani
Esteghlal                                        esteglali
Naft Masjed Soleyman                             naft ms
Sanat Naft Abadan                                sanat naft abadani
Persepolis                                       persepolisi
Padideh Khorasan                                 padideh xorasani
Tractor                                          traqtori
Fajr Sepasi                                      sepasi
Zob Ahan                                         zob ahani
Nassaji Mazandaran                               mazandarani
Maccabi Haifa                                    makabi haifa
Atalanta                                         atalanta
Juventus                                         iuventusi
Portmore United                                  portmori
Montego Bay United                               montego bei
Molynes United                                   molinesi
Arnett Gardens                                   arnet gardensi
Auda                                             auda
Liepaja                                          liepaia
Tukums 2000                                      tukums 2000
Valmieras                                        valmiera
Kauno Zalgiris                                   spiris kaunasi
Riteriai                                         riteriai
Kuching FA                                       kuCingi
Terengganu II                                    terengganu II
CD Guadalajara Chivas                            gvadalaxara
Buducnost Podgorica                              buduCnosti
Petrovac                                         petrovaci
Decic Tuzi                                       deCici
Podgorica                                        podgorica
Iskra                                            iskra
Zeta                                             zeta
Rudar Pljevlja                                   rudar pl.
Jezero                                           iezero
Sutjeska                                         sutieska
Mornar                                           mornari
Arsenal Tivat                                    arsenal tivati
Grbalj Radanovici                                grbali
Igalo                                            igalo
Bokelj                                           bokeli
Kom                                              komi
Cetinje                                          Cetinie
OFK Mladost Donja Gorica                         mladost dg
Berane                                           berane
OFK Titograd                                     ofk titogradi
Jedinstvo BP                                     edinstvo
Jong FC Volendam                                 iong volendami
Rijnsburgse Boys                                 riinsburgs boizi
AFC                                              afk
Excelsior Maassluis                              eqselsior maaslioisi
GVVV Veenendaal                                  gvvv
De Treffers                                      de trefersi
Jong Sparta Rotterdam                            iong sparta roterdami
Koninklijke HFC                                  koninkleike
Katwijk                                          katviiki
IJsselmeervogels                                 eiselmervogelsi
Tiller IL                                        tileri
Byaasen                                          biuoseni
Strindheim                                       strindheimi
Melhus                                           melhusi
Al-Ahli Bait Hanoun                              al-ahli beiT hanuni
Khadamat Al Shataa                               xadamat al Sataa
Luqueno                                          luqueno
Club Martin Ledesma                              martin ledesma
Guarani de Trinidad                              guarani de trinidadi
Fernando de la Mora                              fernando de la mora
Estoril Praia                                    eStorili
Sp. Braga                                        braga
Zilina                                           Jilina
Trencin                                          trenCini
DAC 1904 Dunajska Streda                         1904 dunaiska streda
Liptovsky Mikulas                                l. mikulasi
UD Granadilla Tenerife Sur                       tenerife
Joenkoepings Soedra                              ionCioping sedra
Skoevde AIK                                      skiovde
Oestersunds                                      estersundsi
Oergryte                                         ergriute
Mbeya City                                       mbeia siTi
Coastal Union                                    qoastal iunioni
Ruvu Shooting                                    ruvu SuTingi
Azam                                             azami
Bayburt Ozel Idarespor                           baiburt ioi
Belediyesi Bodrumspor                            bodrumspori
Tarsus Idman Yurdu                               tarsusi
Karacabey Belediye Spor                          karakabei beledie spori
Artvin Hopaspor                                  artvin hofaspori
Arnavutkoy Belediyespor                          arnavutkoi belediespori
Montevideo City Torque                           montevideo siTi Torqe
Plaza Colonia                                    plasa kolonia
Juventud de las Piedras                          xuventud las piedrasi
Atenas                                           atenasi
Villa Espanola                                   vilia espaniola
Cerro                                            sero
Bunyodkor Tashkent                               bunedkori
Nasaf Qarshi                                     nasafi
Sogdiyona Jizzax                                 sogdiana jizaki
kokand 1912                                      kokand 1912
Inter II                                         interi II
Ansbach                                          ansbaxi
Donaustauf                                       donauStaufi
FM Granitas                                      granitasi
Ataka                                            ataka
AmaZulu                                          amazulu
Lamontville Golden Arrows                        lemontvil golden arousi
Orlando Pirates                                  orlando pairatsi
Maritzburg United                                maricburg iunaitedi
Sporting Club de Huelva                          uelva
Botswana Defence Force XI                        bdf XI
Gilport Lions                                    gilport laionsi
BR Highlanders                                   br hailandersi
Galaxy                                           gelaqsi
Masitoaka                                        masitoaka
Orapa United                                     orapa iunaitedi
Morupule Wanderers                               morupule uonderersi
Extension Gunners                                eqstenSen ganersi
Notwane                                          notveini
Security Systems                                 seqiuriTi sisTemsi
Mogoditshane Fighters                            mogoditSane
Sua Flamingoes                                   sua flamingo
Prisons XI                                       prizons XI
Township Rollers                                 TaunSif rolerzi
Police XI                                        polis XI
Roma                                             roma
Feyenoord                                        feinoordi
Aalesund                                         alesundi
Jerv                                             ervi
Bodoe/Glimt                                      budio/glimti
Stroemsgodset                                    striomsgodseti
Kristiansund BK                                  kristiasundi
Tromsoe                                          tromsio
Odds Ballklubb                                   odd grenlandi
Sandefjord                                       sandefiordi
Viking                                           vikingi
Hamarkameratene                                  ham-kami
Lillestroem                                      lilestriomi
Vaalerenga                                       valerenga
Cerezo Osaka                                     sereZo osaka
Urawa Red Diamonds                               urava
Consadole Sapporo                                saporo
Kashiwa Reysol                                   kasiva
Gamba Osaka                                      gamba
Sanfrecce Hiroshima                              xirosima
Kashima Antlers                                  kasima
Sagan Tosu                                       tosu
Kawasaki Frontale                                kavasaki
Shonan Bellmare                                  Sonani
Shimizu S-Pulse                                  simiZu
Tokyo                                            tokio
Vissel Kobe                                      kobe
Jubilo Iwata                                     ivata
Yokohama F.Marinos                               iokohama f.marinosi
Kyoto Sanga                                      kioto
Nagoya Grampus Eight                             nagoia
Avispa Fukuoka                                   fukuoka
Erzurum BB                                       erzurumi
Istanbulspor                                     istanbulspori
Eyupspor                                         eiupspori
Bandirmaspor                                     bandirmaspori
Emelec                                           emeleki
Independiente Petrolero                          independiente petrolero
Palmeiras                                        palmeirasi
Deportivo Tachira                                deportivo taCira
Nacional                                         nacionali
Bragantino                                       bragantino
Velez Sarsfield                                  velesi
Flamengo                                         flamengo
Universidad Catolica                             universidad katolika
Talleres                                         talieresi
Santos                                           santosi
Banfield                                         banfildi
Union La Calera                                  union la kalera
Independiente Medellin                           medelini
Guairena                                         guairenia
Internacional                                    internasionali
Nueve de Octubre                                 nuev de oqtubre
Defensa y Justicia                               defensa
Antofagasta                                      antofagasta
LDU de Quito                                     ldu de qito
Atletico GO                                      atletiko go
Germany                                          germania
France                                           safrangeTi
Netherlands                                      niderlandebi
Italy                                            italia
WA Tlemcen                                       tlemseni
ES Setif                                         setifi
Club Atletico Platense                           atletiko platense
Belgrano                                         belgrano
Van                                              vani
Noravank                                         noravanki
Noah                                             noe
Urartu                                           urartu
BKMA                                             bkma
Alashkert                                        alaSkerti
Broadmeadow Magic                                brodmidou
Weston Workers                                   ueston uorqerzi
Cooks Hill United                                kuks hil iunaitedi
Lake Macquarie                                   leiq makuori
Balcatta                                         balkata
Stirling Lions                                   stirling laionsi
Cockburn City                                    kokbern siTi
Gwelup Croatia                                   gvelap xorvatia
Western Pride                                    vestern praidi
Southside Eagles                                 sauTsaid iglzi
Allerheiligen                                    alerheiligeni
