Russian Captions                          Georgian Captions
Динамо Минск                              dinamo minski
Вальядолид                                valiadolidi
Дюнкерк                                   diunkerki
Фивер                                     fiveri
Звезда                                    zvezda
Луч                                       luCi
Лада Тольятти                             lada toliati
Кировчанка                                kirovCanka
Университет                               universiteti
Динамо Волгоград                          dinamo volgogradi
Гроссвальштадт                            grosvalStadti
Рейн-Некар                                rein-nekari
Лемго                                     lemgo
Бергишер                                  bergiSeri
Виборг                                    viborgi
Миттьюлланд                               mitiulandi
Морс-Тю                                   mors-tiu
Сёндерйюске                               sionderiuske
Ольборг                                   olborgi
Нордшелланд                               norSelandi
Скиве                                     skive
Скандерборг                               skanderborgi
Орхус                                     orhusi
Олтчим                                    oltCimi
Заечар                                    zaeCari
Тулуза                                    tuluza
Монпелье                                  monpelie
Фленсбург-Хандевитт                       flensburg-handeviti
Хюттенберг                                hiutenbergi
Стинта Бакау                              stinta bakau
Пандури                                   panduri
Лемвиг-Тюборон                            lemvig-tiuboroni
Мельзунген                                melzungeni
Атлетико Мадрид                           madridis atletiko
Камерун                                   kameruni
Сенегал                                   senegali
Нигерия                                   nigeria
Локомотив Челябинск                       lokomotiv Celiabinski
Динамо-Виктор                             dinamo-viqtori
Чеховские медведи                         Cexovskie medvedi
Кабо-Верде                                kabo-verde
Энергия                                   energia
Университет-Нева                          universitet-neva
Факел-ТКЗ                                 fakel-tkz
Стяуа Бухарест                            stiaua buqaresti
Динамо Кэлэраши                           dinamo keleraSi
КИФ Колдинг                               kif qoldingi
Сайнт Рафаэль                             saint rafaeli
Алингзас                                  alingzasi
Капериотумба                              kaperiotumba
Кристианштад                              kristianStadi
Аранас                                    aranasi
Мальме                                    malmio
Дротт                                     droti
Мозамбик                                  mozambiki
Конго ДР                                  kongo
Кения                                     kenia
Ангола                                    angola
Редбергслидс                              redbergslidsi
Одорей                                    odorei
ГК Истадс                                 istadsi
Луги                                      lugi
Х 43 Лунд                                 h 43 lundi
Бьеррингбро-Силькеборг                    bieringbro-silkeborgi
Хаммарбю                                  hamarbiu
Магдебург                                 magdeburgi
Твис Холстебро                            tvis holstebro
Нейчехаус Логроно                         neiCexaus logrono
Загреб                                    zagrebi
Букстехудер                               bukstehuderi
Наварра                                   navara
Метц                                      meci
Хипо                                      xipo
Металлург Скопье                          metalurg skopie
Копер                                     koperi
Буковина Сучава                           bukovina suCava
Зубри                                     zubri
Ловосице                                  lovosice
Анайтасуна                                anaitasuna
Торревьеха                                toreviexa
Гюиф                                      giuifi
Скёвде                                    skiovde
Сьюдад Энкантада Куэнка                   siudad enkantada kuenka
Констанца                                 konstanca
Кадеттен Шаффхаузен                       kadeten Safhauzeni
Барселона                                 barselona
Иври                                      ivri
Плоешти                                   ploeSti
Крим Любляна                              krim liubliana
Тюрингер                                  tiuringeri
Ларвик                                    larviki
Подравка                                  podravka
Адемар                                    ademari
Веспрем                                   vespremi
Дьер                                      dieri
Пик Сегед                                 pik segedi
Шамбери                                   Samberi
Будучность                                buduCnosti
Бюосен Тронхейм                           biuosen tronheimi
Карвина                                   karvina
Границе                                   granice
Арагон                                    aragoni
Виве Кельце                               vive kelce
Висла                                     visla
Азербайджан                               azerbaijani
Италия                                    italia
Турция                                    TurqeTi
Париж                                     parizi
Сан Антонио                               san antonio
Босна Сараево                             bosna saraevo
Трембле                                   tremble
Люббеке                                   liubeke
Йичин                                     iiCini
Дессау-Росслауэр                          desau-roslaueri
Гвадалахара                               gvadalahara
Октавио                                   oqtavio
Сессон-Севинье                            seson-sevinie
Истр                                      istri
Рандерс                                   randersi
Эсбьерг                                   esbiergi
Тертнес                                   tertnesi
ШПИГО                                     Spigo
ХИТ Иннсбрук                              xit insbruki
Ференцварош ТК                            tk ferencvaroSi
Дебрецен                                  debreceni
Црвена Звезда                             crvena zvezda
Уэска                                     ueska
Нант                                      nanti
Престижио                                 prestiJio
Гёппинген                                 giopingeni
Пуэрто Сагунто                            puerto sagunto
Кретель                                   kreteli
Гранольерс                                granolersi
Маккаби Ришон                             makabi riSoni
Япония                                    iaponia
Кот-д'Ивуар                               kot diuari
Куба                                      kuba
Уругвай                                   urugvai
Китай                                     CineTi
Казахстан                                 yazaxeTi
Австралия                                 avstralia
Бахрейн                                   bahreini
Марокко                                   maroko
Иордания                                  iordania
Шпаркассе Швац                            Sparkase Svaci
Линц                                      linci
Нордхорн                                  nordhorni
Университет Ижевск                        universitet iJevski
Корона Брашов                             korona braSovi
Томис Констанца                           tomis konstanca
Бельгия                                   belgia
Великобритания                            didi britaneTi
СКА Минск                                 ska minski
Люблин                                    liublini
Рух Хожов                                 rux xoJovi
Поли Тимишоара                            poli timiSoara
Дунаря                                    dunaria
Караш-Северин Решица                      karaS-severin reSica
Потайса Турда                             potaisa turda
Селестат                                  selestati
Ним                                       nimi
Байер                                     baieri
Чургои                                    Curgoi
Миттьюлланн                               mittiulani
Бекешчабаи                                bekeSCabai
ЕТВ-Эрд                                   etv-erd
Спортинг                                  sportingi
Болонья                                   bolonia
Амбра                                     ambra
Оцелул Галаци                             ocelul galaci
Лейпциг                                   laifcigi
Эслёв                                     esliovi
Хейд                                      heidi
Шиофок                                    Siofoki
Вац                                       vaci
Гдыня                                     gdinia
Сессон-Ренн                               seson-reni
Горенье                                   gorenie
Марибор Браник                            maribor braniki
Дукла Прага                               dukla praRa
Мидтъюлланн                               midtiulani
Гомель                                    gomeli
Заглебье Любин                            zaglebie liubini
Альпла                                    alpla
Хаслум                                    xaslumi
Элверум                                   elverumi
Вардар Скопье                             vardar skopie
Куманово                                  kumanovo
Доминиканская Респ.                       dominikis resp.
Вакер Тун                                 vaker Tuni
Диомидис                                  diomidisi
Конго                                     kongo
ОАЭ                                       a.g.e.
Гонконг                                   honkongi
Ирак                                      erayi
Узбекистан                                uzbekeTi
Финляндия                                 fineTi
Мотор                                     motori
Парагвай                                  paragvai
Мудхар                                    mudxari
Сидней Унив.                              sidnei univ.
Замалек                                   zamaleki
Сан-Бернарду                              san-bernardu
Эль Джаиш                                 el jaiSi
Кённам                                    kionami
СК                                        sk
Минден                                    mindeni
Сидней Унив                               sidnei univ.
Аль Садд Катар                            al sad katari
Нара                                      nara
Нойхаузен                                 noihauzeni
Оденсе                                    odense
Слагелсе                                  slagelse
Рибе-Эсбьерг                              ribe-esbiergi
Рингстед                                  ringstedi
ТУСЕМ Эссен                               tusem eseni
Порту                                     portu
Бозен                                     bozeni
Унион Леобен                              union leobeni
Роман                                     romani
Слога                                     sloga
Татран Прешов                             tatran preSovi
Байя Маре                                 baia mare
ФИФ Фредериксберг                         fif frederiksbergi
Сокол Пршеров                             sokol prSerovi
Оппсал                                    opsali
ВастерасИрста                             vasterasirsta
Сконела                                   skonela
Экс                                       eqsi
Левангер                                  levangeri
Глассверкет                               glasverketi
Кристиансанн                              kristiansani
Гьовик                                    gioviki
Брегенц                                   bregenci
Кремс                                     kremsi
Вествин                                   vestvini
Легница                                   legnica
Азоты-Пулавы                              azoti-pulavi
Забже                                     zabJe
Динамо Бухарест                           dinamo buqaresti
Анталья Муратпаша                         antalia muratpaSa
Стабек                                    stabeki
Балтика Щецин                             baltika SCecini
Сола                                      sola
Флинт Тёнсберг                            flint tionsbergi
Сторхамар                                 storhamari
Рунар                                     runari
Фолло                                     folo
Нёттерёй                                  nioterioi
ХИТ Тироль                                xit tiroli
Пльзень                                   plzeni
Викинг Ставангер                          viking stavangeri
Стал Мелец                                stal meleci
Хробры Глогув                             xrobri gloguvi
Пётркув-Трыбунальский                     piotrkuv-tribunalski
Будё                                      budio
Хаугаланд                                 xaugalandi
Фюллинген Берген                          fiulingen bergeni
БСК-НИФ                                   bsk-nif
Арендал                                   arendali
РСБ                                       rsb
Аль Араби Кувейт                          al arabi kuveiti
Клуб Африкэйн                             klub afrikeini
Аль Кувейт                                al kuveiti
Флёри Луаре                               fliori luare
Ницца                                     nica
Серкль Ним                                serkl nimi
Тулон Сен-Сир                             tulon sen-siri
Вейен                                     veieni
Пивоварна                                 pivovarna
Сокол Поруба                              sokol poruba
Погонь Щецин                              pogon SCecini
Чувай Пшемысл                             Cuvai pSemisli
Квидзын                                   kviZini
Барнбах Кофлах                            barnbax koflaxi
Кангас                                    kangasi
Залэу                                     zaleu
Ферндорф                                  ferndorfi
Бад Швартау                               bad Svartau
Эмсдеттен                                 emsdeteni
Бильер                                    bilieri
Ст. Галлен                                st. galeni
Штефа                                     Stefa
Пфади Винтертур                           pfadi vinterturi
Исси Пари                                 isi pari
Вилья де Аранда                           vilia de aranda
Пальма дель Рио                           palma del rio
Еленя Гура                                elenia gura
Аль Джазира                               al jazira
Аль Нур                                   al nuri
Аль Раян                                  al raiani
Маскат                                    maskati
Старт Эльблонг                            start elblongi
Безансон                                  bezansoni
Крайова                                   kraiova
Драммен                                   drameni
Балатонфюреди                             balatonfiuredi
Войводина                                 voivodina
Фюнфхаус                                  fiunfhausi
Аль Сахель                                al saheli
Аль Салибикает                            al salibikaeti
Китайский Тайпей                          CineTis taipei
Кувейт                                    kuveiti
Сев. Корея                                Cr. korea
Бней Герцлия                              bnei herclia
АСА Тель-Авив                             asa Tel-avivi
Маккаби Кирьят-Моцкин                     makabi kiriat-mockini
Савион                                    savioni
Рамат-ха-Шарон                            ramat-xa-Saroni
Маккаби Рамат Ган                         makabi ramat gani
Туркменистан                              TurqmeneTi
Индия                                     indoeTi
Фрыдек-Мистек                             fridek-misteki
Брно                                      brno
Копривнице                                koprovnice
Индонезия                                 indonezia
Сисция                                    sescia
Карловац                                  karlovaci
Айзенах                                   aizenaxi
Эрланген                                  erlangeni
Раднички Крагуевац                        radniCki kraguevaci
Юскюдар                                   iuskiudari
Чанкая                                    Cankaia
Политехника Кошалиньская                  politexnika koSalinskaia
Бенфика                                   benfika
Белененсеш                                belenenseSi
Керра                                     kera
Маккаби Тель-Авив                         makabi Tel-avivi
Регион Z                                  regioni z
Муратпаша Блд                             muratfaSa bld
Кобленц Вайберн                           koblenc vaiberni
Маккаби Кирьятим                          makabi kiriatimi
Хапоэль Ашдод                             hapoel aSdodi
Казма                                     kazma
Аль Салмия                                al salmia
Франкфуртер                               frankfurteri
Трир                                      triri
Метцинген                                 metcingeni
Сённерйюск                                sioneriuski
Арукюла                                   arukiula
Тапа                                      tapa
Бигано                                    bigano
Галац                                     galaci
Фюлкир                                    fiulkiri
Гретта                                    greta
Саудовская Аравия                         saudis arabeTi
Дижон                                     diJoni
Веспрем Барабаш                           vesprem barabaSi
Скуру                                     skuru
Хорс Х 65                                 horsi 65
Бломберг-Липпе                            blomberg-lipe
Милениум                                  mileniumi
Унион Корнойбург                          union kornoiburgi
Гавр                                      havri
Линдесберг                                lindesbergi
Хальбю                                    halbiu
Эннередс                                  eneredsi
ВиаКон Кехра                              viakon kexra
Таллин                                    talini
Базель                                    bazeli
Госсау                                    gosau
Загорье                                   zagorie
Буревестник Луганск                       burevestnik luganski
Виктория-Регия                            viqtoria-regia
Кропскультур                              kropskulturi
Аудентес                                  audentesi
Хапоэль Кирьят-Оно                        hapoel kiriaT-ono
Вардар СЦБТ                               scbt vardari
Жувелиш                                   JuveliSi
Кринс-Люцерн                              krins-liucerni
Амичита Цюрих                             amiCita ciurixi
Брук                                      bruki
Холлабрунн                                holabruni
Бера Бера                                 bera bera
Ольденбург                                oldenburgi
Сен-Рафаэль                               sen-rafaeli
Спорвеген                                 sporvegeni
Берн                                      berni
Хамм-Вестфален                            ham-vestfaleni
Х 43 Лундагард                            X 43 lundagardi
ИФК Истад                                 ifk istadi
Хаукар                                    haukari
Акюрейри                                  akiureiri
Оломоуц                                   olomouci
Сенец                                     seneci
Дунайварош                                dunaivaroSi
Фехервар КЦ                               fexervari
Бенсхайм-Ауэрбах                          bensxaim-auerbaxi
Фриш Гёппинген                            friS giopingeni
Новы-Сонч                                 novi-sonCi
Кванджу                                   kvanju
Сеул                                      seuli
Инчхон                                    inCxoni
Ярмук                                     iarmuki
Аль Курайн                                al kuraini
Бад-Вильдунген                            bad-vildungeni
Короса                                    korosa
Санму                                     sanmu
Аль Ахли Бахрейн                          al ahli bahreini
Аль Насар                                 al nasari
Аль-Фехахиль                              al-fehahili
Тэгу                                      tegu
Хайтан                                    xaitani
Аль Шабаб                                 al Sababi
Аль Шабаб Манама                          al Sabab manama
Хапоэль Ришон                             hapoel riSoni
Самчхок                                   samCxoki
Кронон                                    krononi
Динамо-Полтава                            dinamo poltava
Чунгнам                                   Cungnami
Аль Ахли ОАЭ                              al axli a.g.e.
Аль Ахли Триполи                          al axli tripoli
Эсперансе Тунис                           esperanse tunisi
Трофайах                                  trofaiaxi
Ферлах                                    ferlaxi
Валюр                                     valiuri
Афтурелдинг                               aftureldingi
Фрам                                      frami
ИР Рейкьявик                              ir reikiaviki
Аль Фехахиль                              al fexaxili
Пусан                                     pusani
Будивельнык                               budivelniki
Малтепе                                   maltepe
КРКА Ново-Место                           krka novo-mesto
Дусан                                     dusani
Аль Тадамон                               al tadamoni
Аль Шабаб (Кувейт)                        al Sabab (kuveiti)
Аль Наср (ОАЭ)                            al nasri (a.g.e.)
Люнгбю                                    liungbiu
Рингкёбинг                                ringkiobingi
ИБВ                                       ibv
Хафнарфьярдар                             hafnarfiardari
Дайдо                                     daido
Цзянсу                                    cziansu
Хельсинборг                               helsinborgi
Аль Кадсия                                al kadsia
ГОГ                                       gog
Аль Джахра                                al jaxra
Эмпор Росток                              empor rostoki
Ауэ                                       aue
Силькеборг                                silkeborgi
Аякс Копенгаген                           aiaqs kopenhageni
Кельце                                    kelce
Зелина                                    zelina
Римбо Руслаген                            rimbo ruslageni
Дьёр                                      diori
Людвигсхафен-Фризенхайм                   liudgvisxafen-frizenxaimi
Портовик                                  portoviki
Мешков Брест                              meSkov bresti
Ардешен                                   ardeSeni
ПКБ                                       pkb
Вильянди                                  viliandi
Халден                                    haldeni
Тарту Юликоол                             tartu iulikooli
Валга Кявал                               valga kiavali
Таллас                                    talasi
Тапа-2                                    tapa-2
Милли Пиянго                              mili piango
Измир БСБ                                 izmiri bsb
Килкис                                    kilkisi
Анкара Ил Озел Идаре                      ankara il ozel idare
Едитепе                                   editepe
Атцгерсдорф                               atchersdorfi
Хипо 2                                    hipo 2
Аль Джаиш (Катар)                         al jaiSi (katari)
Аль Гарафа                                al harafa
Винер Нойштадт                            viner noiStadti
Виймси Теэрийстмаркет                     viimsi teeriistmarketi
Пылва Сервити                             pilva serviti
Кехра                                     kexra
Нейчехаус Логроньо                        neiCehaus logronio
Рийхимяки                                 riiximiaki
Дикен                                     dikeni
Анкараспор                                ankaraspori
Мерсин                                    mersini
Рух Хожув                                 rux xoJuvi
Старт Эльблёнг                            start elbliongi
БК-46                                     bk-46
Вест                                      vesti
Фудж Аль Атфа                             fuj al atfa
Аль Джаиш (Ливан)                         al jaiSi (libani)
Саарлуис                                  saarluisi
Локомотива Загреб                         lokomotiva zagrebi
Бурса Нилюфер Блд                         bursa niliufer bld
Славия Прага                              slavia praRa
Илидца                                    ilidca
Любушки                                   liubuSki
Локомотив Варна                           lokomotiv varna
Спартак Варна                             spartak varna
Баник Мост                                banik mosti
Бриттерм                                  britermi
Цегледи                                   cegledi
Нексе                                     nekse
Пореч                                     poreCi
Бозен Локер                               bozen lokeri
Прессано                                  presano
Армения                                   somxeTi
Болгария                                  bulgareTi
Агуаш-Санташ                              aguaS-santaSi
Молдавия                                  moldova
Мерш                                      merSi
Стандарт                                  standarti
Эш                                        eSi
Нельба Вагровиц                           nelba vagrovici
Беттембур                                 betemburi
Стандард                                  standardi
Беки                                      beki
Этыр                                      etiri
Лехвия                                    lexvia
Аль Кияд                                  al qiiadi
Хапоэль Петах-Тиква                       hapoel petax-tikva
Буфарик                                   bufariki
Руиба                                     ruiba
Аркатрон Минск                            arkatron minski
Злин                                      zlini
Аль Садд (Катар)                          al sadi (katari)
Катар СК                                  katari sk
Аль Араби (Кувейт)                        al arabi (kuveiti)
Дюделанж                                  diudelanJi
Чхоннам                                   Cxonnami
Аль Вакра                                 al vakra
Борац Банья Лука                          borac bania luka
Конюх Живинице                            koniuh Jivinice
Тонгерен                                  tongereni
Ахиллес Бохолт                            axiles boxolti
Аль Араби Доха                            al arabi doha
Кипр                                      kviprosi
Люксембург                                luqsemburgi
Эстония                                   estoneTi
Аль Тадамон (Йемен)                       al tadamoni (iemeni)
Аль Шрара Лахдж                           al Srara lahji
Пермские медведи-2                        permskie medvedi-2
СГАУ-Саратов                              sgau-saratovi
Габон                                     gaboni
Минден-2                                  mindeni 2
Крефельд                                  krefeldi
Фюксе Берлин                              fiukse berlini
Мес Керман                                mes kermani
Самен Аль-Ходжадж Себзевар                samen al-xojaj sebzevari
Холон                                     holoni
Нес-Циона                                 nes-ciona
Вардар ПРО                                vardar pro
Фризенхайм                                frizenhaimi
Хенштедт-Ульцбург                         henStedt-ulcburgi
Бенидорм                                  benidormi
Этуаль дю Сахель                          etual diu saheli
Таубате                                   taubate
Потаисса Турда                            potaisa turda
Волендам                                  volendami
Битигхайм                                 bitighaimi
РК Вардар                                 rk vardari
Бенсхайм Ауэрбах                          benshaim auerbaxi
Альтдорф                                  altdorfi
Нептун Констанца                          neptun konstanca
Рымнику-Вылча                             rimniku-vilCa
СКИФ                                      skif
Нексе Нашице                              nekse naSice
Анхель Хименес                            anxel ximenesi
Бидасоа Ирун                              bidasoa iruni
Хуанферса Групо Фегар                     xuanfersa grupo fegari
Аль Ахли Джидда                           al ahli jida
Аль Сафа                                  al safa
Одорхею-Секуйеск                          odorxeiu-sekuieski
Ловчен                                    lovCeni
Напредак                                  napredaki
ПСЖ                                       psJ
Каспиан Казвин                            kaspian kazvini
Саба Кум                                  saba kumi
Ирони Реховот                             ironi rexovoti
Аль Халидж                                al xaliji
Аль Вехда                                 al vexda
Аль Ибтисам                               al ibtisami
Аль Адала                                 al adala
Копенгаген                                kopenhageni
Трабзонспор                               trabzonspori
Генчлербирлиги                            genClerbirligi
ВолГУ-Каустик                             volgu-kaustiki
Алингсос                                  alingsosi
Ровинари Тыргу-Жиу                        rovinari tirgu-Jiu
БарБар                                    barbari
Хепко Эрак                                xepko eraki
Никандишан Шардари Исфахан                nikandiSan Sardari ispaxani
Аль Наджма Бенгази                        al najma bengazi
Татабанья                                 tatabania
Петрковия                                 petrkovia
Нюкёбинг                                  niukiobingi
Мадейра Сад                               madeira sadi
Пассош Мануэл                             pasoS manueli
Тала Аль Джаиш                            tala al jaiSi
Аль Нассер Бенгази                        al naser bengazi
Скикда                                    skikda
Сетиф                                     setifi
Шахтер-Академия Донецк                    Saxtior-akademia donecki
Металопластика Шабац                      metaloplastika Sabaci
Тубли                                     tubli
Аль Тадамон (Бахрейн)                     al tadamoni (bahreini)
Херульф Мосс                              herulf mosi
Самен Аль-Ходжадж Мешхед                  samen al-xojaj meSxedi
Нирой Зaмини                              niroi zamini
Парс Мес Фелаверджан                      pars mes felaverjani
Мсила                                     msila
Оран                                      orani
Четате ДеваТранс                          Cetate devatransi
Фредрикстад                               fredrikstadi
Нордстранд                                nordstrandi
Сторд                                     stordi
Фалк Хортен                               falk horteni
Ваци КШЕ                                  vaci kSe
Аль Наджма Манама                         al najma manama
Аль Иттихад                               al itihadi
ХИФК                                      hifk
АИФК                                      aifk
Акиллес                                   akilesi
Брага                                     braga
Ландхаус                                  landhausi
СУС Нюборг                                sus niuborgi
Тёндер                                    tionderi
ХК Копавогур                              xk kopavoguri
Люббекке                                  liubeke
Далфсен                                   dalfseni
Гвардя Ополе                              gvardia opole
Зомимак-М                                 zomimak-m
Сучава                                    suCava
Поважска Быстрица                         povaJska bistrica
Бахрейн СК                                bahreini sk
Аль Ахли (Бахрейн)                        al ahli (bahreini)
Беджая                                    bejaia
Уаргла                                    uargla
Бордж Бу Арреридж                         borj bu areriji
Аль Ансар                                 al ansari
БВУФК-Будивельник                         bvufk-budivelniki
КДЮСШ-ЛДУФК-Политехник                    kdusS-ldufk-politexniki
Хапоэль Рамат-Ган                         hapoel ramat-gani
Слован                                    slovani
Аль Тадамон (Кувейт)                      al tadamoni (kuveiti)
Самахидж                                  samaxiji
Селфосс                                   selfosi
Хапоэль Ришон Беэр-Тувия                  hapoel riSon beer-tuvia
УОР-Звезда-2                              uor-zvezda-2
Ростов-Дон-2                              rostov-don-2
УПИ                                       upi
Ярославна                                 iaroslavna
Аль Даир                                  al  dairi
КСДЮСШОР-Олимп                            ksdusSor-olimpi
Мекалия Атлетико Гвардес                  mekalia atletiko gvardesi
Дьёндьёши                                 diondioSi
Спарта Хельсинки                          sparta helsinki
КюИФ                                      kiuifi
Антальяспор                               antaliaspori
Миос Бигано                               mios bigano
Трабзон                                   trabzoni
Арач                                      araCi
Беккелагет                                bekelageti
Осым                                      osimi
Легионово                                 legionovo
Братислава                                bratislava
Слован Модра                              slovan modra
Технолог-Спартак                          texnolog-spartaki
Анагеннис                                 anagenisi
ПАОК                                      paoki
АСК-ЛУ                                    ask-lu
Вайнёде                                   vainiode
Медвешчак                                 medveSCaki
Спачва                                    spaCva
Анафен Колежи                             anafen koleJi
Нове Замки                                nove zamki
Топольчаны                                topolCani
Висла Плоцк                               visla plocki
Фоивос                                    foivosi
УОР-Звезда-3                              uor-zvezda-3
Лутраки                                   lutraki
ХАНТ                                      xanti
Дука                                      duka
Севница                                   sevnica
Алиса-БГАУ                                alisa-bgau
Михаловце                                 mixalovce
Партизанске                               partizanske
Униря Слобозия                            uniria slobozia
Лада-2                                    lada-2
Луч-УОР                                   luC-uor
Слован Дусло Шаля                         slovan duslo Salia
Карпаты                                   karpati
Днепрянка Херсон                          dneprianka xersoni
Атлас                                     atlasi
Рибница                                   ribnica
Тримо Требнье                             trimo trebnie
Ерузалем Ормож                            eruzalem ormoJi
Глоговец                                  glogoveci
Зриньски Мостар                           zrinski mostari
Приедор                                   priedori
Маккаби Холон                             makabi xoloni
Стиинта Бухарест                          stiinta buqaresti
Грузия                                    saqarTvelo
Бад-Швартау                               bad-Svartau
Биттенфельд                               bitenfeldi
Скара                                     skara
Зелене Долине Жалец                       zelene doline Jaleci
Гвинея                                    gvinea
Драгунас                                  dragunasi
Вярска                                    viarska
Ливия                                     livia
Анкара Енимахалле                         ankara enimaxale
Аль Ахли Доха                             al ahli doha
Оман                                      omani
Адана                                     adana
Эльче-Мустанг                             elCe-mustangi
Алькобендас                               alkobendasi
Батрун                                    batruni
Аль Садака                                al sadaka
Аль Шабаб Мар Элиас                       al Sabab mar eliasi
Вестманнаэйяр                             vestmanaeiari
Нафт у Газ Гечсаран                       naft u gaz geCsarani
Рудар Костолац                            rudar kostolaci
Этыр-64                                   etir-64
Динамо-2 Волгоград                        dinamo-2 volgogradi
Сюдхаусёэрне                              siudhausioerne
Интер-Академик                            inter-akademiki
Ум Алхосм                                 um alhosmi
Трешневка                                 treSnevka
Аль Хор                                   al xori
СИФ                                       sif
Тяньцзинь                                 tianczini
Шаньдун                                   Sanduni
Шанхай                                    Sanxai
Гуандун                                   guanduni
Бэйцзин                                   beiczini
Стинта Бакэу                              stinta bakeu
Либерейшн Арми                            libereiSn armi
Кристианстад                              kristianstadi
Аньхой                                    anxoi
Орошхаза                                  oroSxaza
Хёрс Х 65                                 hiors h 65
Хельсингборг                              helsingborgi
Целтниекс-ЛСПА                            celtnieks-lspa
Латголс                                   latgolsi
Аль Сакр Таиз                             al sakr taizi
Аль Джалаа                                al jalaa
Иттихад Ибб                               itihad ibb
Шабаб Аль Джил                            Sabab al jili
Олькуш                                    olkuSi
РК Металлург Скопье                       rk metalurg skopie
Хорта                                     xorta
Левски-1920                               levski-1920
Быки                                      biki
Стьярнан                                  stiarnani
Железничар 1949                           JelezniCari 1949
Мославина                                 moslavina
Бузет                                     buzeti
Добруджа                                  dobruja
Фасано                                    fasano
Аль Садд (Ливан)                          al sadi (libani)
Польша-2                                  poloneTi II
Челик                                     Celiki
Аль Ахли (ОАЭ)                            al ahli (a.g.s.)
Аль Кияда                                 al kiada
Арияна                                    ariana
Махдия                                    maxdia
Сирия                                     siria
Васлуй                                    vaslui
Кэлэраши                                  keleraSi
Штиинца Бакэу                             Stiinca bakeu
Дервента                                  derventa
Эсперанс Тунис                            esperans tunisi
Валанс                                    valansi
Тыргу-Муреш                               tirgu-mureSi
Оддер                                     oderi
Гурник Забже                              gurnik zabJe
Шленск Вроцлав                            Slensk vroclavi
Энерджа Тыргу-Жиу                         enerja tirgu-Jiu
Выбжеже Гданьск                           vibJeJe gdanski
БГК им. Мешкова                           bgk meSkovis sax.
Таргос Бево                               targos bevo
Самора                                    samora
Кангас Моррасо                            kangas moraso
Нельба Вонгровец                          nelba vongroveci
Аль Джаиш Доха                            al jaiS doxa
Рикох                                     rikoxi
Акчаабат Тютюнспор                        akCaabat tiutiunspori
Аль Садд Доха                             al sad doxa
Ставрополье-СКФУ                          stavropolie skfu
Динамо Астрахань                          dinamo astraxani
Татран Литовел                            tatran litoveli
Скрим                                     skrimi
Лиллестрём                                lilestriomi
Мец                                       meci
БГК-2                                     bgk-2
ГК им. Лёвина                             gk liovinis sax.
ЗТР-СДЮШОР                                ztr-sduSor
Заглембе Любин                            zaglembe liubini
Одорхей                                   odorxei
Филиппос                                  filiposi
БНТУ-БелАЗ                                bntu-belazi
Городничанка                              gorodniCanka
Утена                                     utena
Губерния                                  gubernia
Измир БШБ                                 izmiri bSb
ЗТР                                       ztr
Бровары                                   brovari
Эконом-Университет                        ekonom universiteti
Динамо-Синара                             dinamo sinara
Горче Петров                              gorCe petrovi
Лада                                      lada
Аранес                                    aranesi
Драма                                     drama
Жито Прилеп                               Jito prilepi
Скиф Омск                                 skif omski
